scenario,episode,step,agent_id,food_N,food_S,food_E,food_W,occ_N,occ_S,occ_E,occ_W,food_here,energy,free_cells,move,reproduce,did_reproduce,did_move
S1,0,1,4619824176,0.4073,0.0,7.6692,6.5678,0,1,0,0,2.1129,2.5121,3,E,False,False,False
S1,0,1,4595475920,0.9569,4.1129,4.6654,7.211,0,1,0,0,4.3897,4.9862,3,W,False,False,True
S1,0,1,4619822448,8.0,0.5839,0.1607,2.9145,0,0,0,0,3.6238,3.2185,4,N,False,False,True
S1,0,1,4619822160,0.0,6.208,3.2751,5.5397,1,0,0,0,3.1169,5.5057,3,S,False,False,True
S1,0,1,4619824080,3.0668,-1.0,0.0,3.1737,0,1,1,1,0.0,0.2094,1,N,False,False,False
S1,0,1,4619821008,4.8067,4.367,4.5403,3.085,1,1,0,0,4.5204,4.1507,2,E,False,False,True
S1,0,1,4619821584,1.3702,3.1169,5.9219,1.4085,0,1,0,0,0.0,0.3693,3,E,False,False,True
S1,0,1,4619822640,2.6394,0.1056,1.1242,8.0,0,0,0,0,1.9204,1.3054,4,W,False,False,True
S1,0,1,4619823600,2.9583,-1.0,1.0513,0.0,0,1,0,1,3.2251,3.0275,2,N,False,False,True
S1,0,1,4595755312,2.514,5.4496,2.3259,4.9829,0,0,0,0,3.4287,2.9052,4,N,False,False,True
S1,0,1,4596703376,6.7624,2.5195,0.0,5.0254,0,0,1,0,4.1071,4.9379,3,N,False,False,True
S1,0,1,4619821104,2.1129,4.2393,0.0,4.6128,1,0,1,0,0.0,1.8003,2,S,False,False,True
S1,0,1,4619820912,2.6015,1.1242,5.8094,2.6394,0,0,0,0,1.7311,4.5712,4,E,False,False,True
S1,0,1,4619821968,4.5204,0.7102,3.9293,1.133,1,0,0,1,4.367,3.7238,2,E,False,False,True
S1,0,1,4619821296,3.8182,0.8241,2.4407,1.5661,0,0,0,0,2.5336,3.762,4,N,False,False,True
S1,0,1,4619823792,3.3645,2.8818,1.4301,2.4407,0,0,0,0,3.9535,3.1898,4,N,False,False,True
S1,0,1,4614742736,4.6307,4.7009,3.3511,4.1071,0,0,0,1,0.0,4.1028,3,N,False,False,True
S1,0,1,4619822064,1.2415,0.0,2.9583,3.0668,0,1,0,0,1.7561,4.8285,3,W,False,False,True
S1,0,1,4614738704,3.3511,1.5006,2.4708,4.7009,0,0,0,0,3.7779,4.9775,4,W,False,False,True
S1,0,1,4619821776,2.4737,5.5924,0.4394,4.5147,0,0,0,1,3.2628,3.7492,3,S,False,False,True
S1,0,1,4595248656,0.4692,1.7013,-1.0,0.5863,0,0,1,1,0.0,1.5147,2,N,False,False,True
S1,0,1,4619821488,0.0,4.5204,5.4143,2.6434,1,1,0,0,4.8067,3.855,2,W,False,False,True
S1,0,1,4619822256,4.3897,1.034,1.9076,4.9397,1,0,0,0,4.1129,4.4324,3,S,True,True,True
S1,0,1,4595755600,4.9963,1.8361,5.0,2.6253,0,0,1,0,2.304,2.2659,3,N,False,False,True
S1,0,1,4619823888,0.6495,1.2415,0.3482,2.304,0,0,0,1,5.0,2.2659,3,S,False,False,True
S1,0,1,4619822544,1.7561,-1.0,3.2251,0.0,1,1,1,1,0.0,4.2115,0,Stay,False,False,False
S1,0,1,4619821200,2.7265,0.2398,0.0,3.9469,1,0,1,0,0.5863,1.842,2,S,False,False,True
S1,0,1,4619824368,-1.0,1.1011,-1.0,2.2818,1,0,1,1,1.2685,4.1814,1,S,False,False,True
S1,0,1,4619822736,0.5839,4.8067,3.4613,4.8842,0,1,0,0,0.0,0.7859,3,W,False,False,False
S1,0,1,4595748016,7.6692,0.6684,4.6871,0.0,0,0,1,1,0.0,1.4314,2,N,False,False,True
S1,0,1,4619293456,3.5537,3.9469,2.7265,0.0,0,0,1,1,4.6871,3.0991,2,N,False,False,True
S1,0,1,4619824464,4.7957,0.5863,0.4692,4.6871,0,1,0,1,2.7265,3.8705,2,N,False,False,False
S1,0,1,4619821872,0.6684,0.9362,1.8635,7.0007,0,0,0,0,4.5746,2.8128,4,W,False,False,True
S1,0,1,4619824272,3.085,6.3265,4.367,4.124,0,0,1,0,1.133,6.8334,3,S,False,False,False
S1,0,1,4594896720,2.7622,7.4727,2.4317,-1.0,0,1,0,1,0.5454,1.0908,2,Stay,False,False,False
S1,0,1,4594736912,0.0,2.0791,3.2628,-1.0,0,0,1,1,4.5147,2.1418,2,S,False,False,True
S1,0,1,4619822352,0.4299,0.1192,5.5397,3.4104,1,0,0,0,2.5347,3.9245,3,E,True,True,True
S1,0,1,4619823024,2.9145,4.8842,0.5839,3.9527,0,0,0,0,1.7995,3.8374,4,S,False,False,True
S1,0,1,4619821680,1.5462,2.5347,1.4085,7.8078,0,1,0,0,0.4299,4.6998,3,W,False,False,True
S1,0,1,4619824560,4.124,-1.0,6.3265,0.3791,0,1,0,0,0.7802,2.3993,3,E,False,False,True
S1,0,1,4619823312,3.5295,0.4394,3.2866,2.4737,0,0,0,0,1.8552,5.3581,4,N,False,False,True
S1,0,2,4619822064,1.8781,0.0,2.7638,0.0,0,0,0,1,0.1088,4.9138,3,E,False,False,False
S1,0,2,4619821584,2.3292,3.3171,0.2143,0.1159,0,0,0,0,2.9639,1.3464,4,S,False,False,True
S1,0,2,4619823024,2.609,0.0,0.0,4.7074,0,1,0,0,1.9262,4.1209,3,N,False,False,True
S1,0,2,4595748016,0.5059,0.3283,0.5957,0.0,1,0,1,1,4.7112,2.1961,1,S,False,False,True
S1,0,2,4619821104,0.4021,4.0427,0.7104,3.1817,0,1,0,0,1.2813,2.4912,3,Stay,False,False,False
S1,0,2,4594736912,4.985,1.335,2.6344,-1.0,0,0,1,1,0.0,1.8856,2,N,False,False,True
S1,0,2,4619821200,2.7265,0.2398,0.0,3.9469,1,0,1,0,0.5863,1.842,2,S,False,False,False
S1,0,2,4619821968,1.5823,1.9533,-1.0,5.1538,1,0,1,0,0.9713,4.03,2,W,False,False,True
S1,0,2,4619823216,4.1993,4.7112,1.2217,0.4493,0,1,0,0,0.5059,4.5115,3,W,False,False,True
S1,0,2,4619821488,1.9262,3.127,5.6197,1.9496,1,0,0,0,0.0,3.8204,3,E,False,False,True
S1,0,2,4619821296,3.6121,3.328,2.5691,0.557,0,0,0,0,0.8602,4.0606,4,N,False,False,True
S1,0,2,4614738704,0.8626,5.7914,4.8154,2.5615,0,0,0,0,1.7429,5.033,4,S,False,False,False
S1,0,2,4619822544,2.7638,-1.0,3.8726,0.0,0,1,0,0,0.0,2.3045,3,E,False,False,True
S1,0,2,4619821776,4.0546,1.6366,6.2129,0.0,0,0,0,1,2.6344,4.0503,3,E,False,False,True
S1,0,2,4619824368,2.1468,0.3416,-1.0,0.6149,0,0,1,0,0.0,2.5393,3,N,False,False,True
S1,0,2,4595755312,0.1476,4.0517,3.6143,2.5128,0,0,0,0,0.0,2.9311,4,S,False,False,True
S1,0,2,4595748112,2.9341,2.5817,0.1159,1.4119,0,1,0,0,0.0,1.0713,3,N,False,False,True
S1,0,2,4619822352,0.0,0.5715,4.26,3.3616,1,1,0,0,2.5817,2.6208,2,E,False,False,True
S1,0,2,4595475920,3.4855,4.9817,5.429,0.6993,0,0,0,0,4.253,5.0399,4,N,False,False,True
S1,0,2,4619822448,0.3254,4.3095,5.4289,0.084,0,0,0,0,5.0,3.6258,4,E,False,False,True
S1,0,2,4619821392,0.2243,2.105,1.643,-1.0,0,0,0,1,1.2522,4.9049,3,S,False,False,True
S1,0,2,4619823696,0.6149,0.0,0.3416,0.5957,0,1,0,1,1.8377,2.2492,2,N,False,False,True
S1,0,2,4619823792,4.9817,4.6334,0.0,2.5691,0,0,1,0,0.4065,3.6028,3,N,False,False,True
S1,0,2,4619824176,0.4493,0.4021,4.7112,6.6098,0,0,1,0,0.0,2.7181,3,Stay,False,False,False
S1,0,2,4619822736,0.5839,4.8067,3.4613,4.8842,0,1,0,0,0.0,0.7859,3,W,False,False,False
S1,0,2,4619823120,0.1607,3.4613,-1.0,0.5839,0,0,1,0,0.0,1.868,3,N,False,False,False
S1,0,2,4619824080,3.0668,-1.0,0.0,3.1737,0,1,1,1,0.0,0.2094,1,N,False,False,False
S1,0,2,4614742736,3.9813,0.8626,1.9089,3.8044,0,0,0,1,1.6727,4.3332,3,N,False,False,True
S1,0,2,4619821680,1.8069,3.4524,1.4119,-1.0,0,0,0,1,4.8498,4.8109,3,S,False,False,True
S1,0,2,4619823888,5.4952,2.7638,0.1566,1.8781,0,0,1,0,0.0,1.1472,3,S,False,False,True
S1,0,2,4619822160,4.26,3.3286,0.7683,0.5715,0,0,0,1,3.25,5.4555,3,N,False,False,False
S1,0,2,4619824464,1.8377,0.9967,0.0,5.349,1,0,0,0,0.0,4.69,3,E,False,False,True
S1,0,2,4619821008,5.4563,0.9713,-1.0,5.3925,0,1,1,0,1.5823,4.3716,2,N,False,False,True
S1,0,2,4619823984,5.7914,0.3902,3.6164,0.6915,0,0,0,0,2.3463,4.0094,4,N,False,False,True
S1,0,2,4619823504,1.643,3.8673,0.1088,2.105,0,0,1,0,0.0,1.2936,3,S,False,False,True
S1,0,2,4619293456,1.2217,5.349,1.8377,4.7112,0,0,1,1,0.5957,3.5303,2,N,False,False,True
S1,0,2,4595478512,0.0,0.4211,4.166,4.6334,1,0,0,0,0.0,1.296,3,E,False,False,False
S1,0,2,4619822256,5.0413,0.0,7.5135,0.4065,0,1,0,1,0.0,0.9,2,E,False,False,True
S1,0,2,4619822640,1.9021,0.4102,2.2235,1.9089,0,0,0,0,5.0,2.0953,4,E,False,False,True
S1,0,2,4619823408,-1.0,1.2217,2.9928,4.1993,1,0,0,0,1.5174,3.727,3,W,False,False,True
S1,0,2,4619821872,1.2813,4.7829,5.1792,2.8514,1,0,0,1,4.0427,3.3013,2,S,False,False,True
S1,0,2,4595479856,5.0674,4.9341,2.5615,4.0978,0,0,0,0,2.4333,3.9792,4,N,False,False,True
S1,0,2,4595755600,4.9341,2.7992,0.6915,4.6239,0,0,0,0,2.0383,2.8637,4,N,False,False,True
S1,0,2,4596703376,0.9371,5.1367,1.6727,6.2129,0,0,1,0,3.8044,5.0013,3,S,False,False,True
S1,0,2,4619820912,3.1817,1.0392,4.0427,2.6873,0,0,1,0,2.8514,4.708,3,Stay,False,False,False
S1,0,2,4619823312,2.5817,2.9688,3.25,0.1612,1,0,1,0,0.5715,5.3375,2,S,False,False,True
S1,0,2,4619823600,0.1566,3.8726,2.5501,2.7638,1,0,0,0,0.0003,3.473,3,S,False,False,False
S1,0,2,4619822832,4.3849,6.0312,0.1963,-1.0,0,0,0,1,4.877,3.8453,3,N,False,False,True
S1,0,2,4595248656,0.4692,1.7013,-1.0,0.5863,0,0,1,1,0.0,1.5147,2,N,False,False,False
S1,0,2,4619824560,0.0,-1.0,0.7522,1.3021,1,1,0,0,3.3685,2.9704,2,E,False,False,True
S1,0,2,4619824272,3.127,3.3685,5.1538,4.166,0,1,0,0,0.0,6.0594,3,W,False,False,True
S1,0,2,4619822928,0.3902,0.0003,5.6306,0.0,0,1,0,1,0.1566,3.4053,2,E,False,False,True
S1,0,3,4619823312,1.681,0.5234,3.3706,2.5577,0,0,0,0,0.0108,5.321,4,E,False,False,False
S1,0,3,4619823888,0.2714,0.5029,0.0,0.0,0,0,1,1,0.0,1.7746,2,S,False,False,True
S1,0,3,4619821104,0.4441,4.745,0.7524,3.2237,0,0,0,0,0.0,1.8656,4,S,False,False,True
S1,0,3,4619822544,0.0,-1.0,1.1353,0.5029,1,1,0,0,0.9146,2.8946,2,E,False,False,True
S1,0,3,4619822448,6.7919,0.042,-1.0,5.7672,0,0,1,0,2.4709,3.9517,3,N,False,False,True
S1,0,3,4619821296,5.5336,1.7144,0.9767,4.7144,0,0,0,0,0.6541,4.2995,4,N,False,False,True
S1,0,3,4619821680,5.8539,2.8882,3.4036,-1.0,0,0,0,1,0.4944,4.8997,3,N,False,False,True
S1,0,3,4619821968,5.4345,0.0,1.8193,1.2539,0,1,0,0,2.1958,4.275,3,N,False,False,True
S1,0,3,4595755312,0.6282,5.5336,2.4099,5.0669,0,0,0,0,1.0937,3.3959,4,S,False,False,False
S1,0,3,4619821392,2.2751,6.8094,0.3007,-1.0,0,0,0,1,0.0,4.1219,3,S,False,False,True
S1,0,3,4619822064,1.9201,0.042,0.0,0.3007,0,0,1,0,0.0,3.1156,3,N,False,False,True
S1,0,3,4594736912,0.084,0.4191,4.0966,-1.0,0,0,0,1,2.027,2.5594,3,E,False,False,True
S1,0,3,4619824464,0.3836,0.3869,-1.0,0.98,0,0,1,0,0.0,1.845,3,N,False,False,True
S1,0,3,4619820912,3.2237,1.0812,4.745,2.7293,0,0,0,0,0.0,5.6524,4,E,False,False,False
S1,0,3,4619821584,3.2752,0.8103,4.9315,1.302,0,0,0,1,0.3591,2.1281,3,E,False,False,True
S1,0,3,4619823408,-1.0,1.4502,2.3048,4.2148,1,0,0,0,1.2413,4.0326,3,W,True,True,True
S1,0,3,4619821488,0.042,5.4345,2.4983,0.8061,0,0,1,0,2.6617,4.1074,3,S,False,False,False
S1,0,3,4619821008,3.5453,2.4986,-1.0,2.6617,0,0,1,1,2.4983,4.5483,2,N,False,False,True
S1,0,3,4595755600,3.2712,2.6531,2.3427,0.2383,0,0,0,0,1.9761,3.342,4,N,False,False,True
S1,0,3,4619823600,0.8796,0.9146,2.5921,0.0,0,1,0,1,0.0,1.5663,2,E,False,False,True
S1,0,3,4595479856,3.2549,3.2712,2.1787,1.6786,1,0,1,0,2.1094,4.2343,2,S,False,False,False
S1,0,3,4619293456,2.3048,1.3437,0.0,1.4502,0,0,1,0,0.0,2.1389,3,N,False,False,True
S1,0,3,4619821776,0.5234,2.1094,4.8467,3.4865,0,1,0,0,3.2549,4.2913,3,E,False,False,True
S1,0,3,4619823792,5.303,1.1691,5.0833,0.9767,0,0,0,0,2.0237,3.9333,4,N,False,False,False
S1,0,3,4619822256,1.9916,1.208,3.169,0.222,0,1,0,0,4.5555,1.771,3,N,False,False,True
S1,0,3,4619821872,4.745,1.2588,1.0202,1.0812,0,0,0,0,1.8249,3.692,4,N,False,False,False
S1,0,3,4619824272,4.5555,1.3441,1.2539,0.0,1,0,0,0,1.208,5.8985,3,S,False,False,True
S1,0,3,4595478512,0.0,0.4211,4.166,4.6334,1,0,0,0,0.0,1.296,3,E,False,False,False
S1,0,3,4619824368,-1.0,0.5499,-1.0,3.0348,1,0,1,0,0.0,2.2713,2,W,False,False,False
S1,0,3,4619823696,3.0348,2.3295,0.5499,0.0,0,0,0,1,0.0,0.5072,3,N,False,False,True
S1,0,3,4619824176,0.0,0.4441,5.1925,6.6518,1,0,0,0,0.0,0.8111,3,W,False,False,True
S1,0,3,4619822640,2.7234,0.1896,1.2082,5.4611,0,0,0,0,0.0,1.9927,4,W,False,False,True
S1,0,3,4619823024,2.9985,2.7923,0.6679,4.0367,0,0,0,0,0.0,3.9987,4,W,False,False,True
S1,0,3,4614742736,1.9239,2.5814,0.7266,0.9791,0,0,0,0,1.0233,4.5176,4,N,False,False,True
S1,0,3,4595748016,5.1925,0.7524,5.391,0.4441,0,0,0,0,0.0,0.1782,4,E,False,False,True
S1,0,3,4619822928,2.7251,2.5921,0.599,0.8796,0,0,0,0,2.6726,3.7752,4,N,False,False,True
S1,0,3,4619823984,0.0,3.1901,1.5846,2.3427,1,0,0,0,2.8334,4.2585,3,S,False,False,True
S1,0,3,4619822832,1.377,5.688,4.1398,-1.0,0,0,0,1,1.4269,4.1272,3,S,False,False,True
S1,0,3,4614738704,0.9046,2.8334,4.8574,2.6035,0,1,0,0,0.0,4.869,3,E,False,False,True
S1,0,3,4619823216,4.2148,0.0,1.4502,4.0544,0,1,0,0,0.0,2.1515,3,N,False,False,False
S1,0,3,4596703376,4.8467,2.6035,0.9046,2.1094,0,0,0,1,2.1787,5.052,3,N,False,False,False
S1,0,3,4595475920,0.9885,5.303,1.0409,2.4099,0,0,0,0,0.5275,5.083,4,S,False,False,True
S1,0,3,4595748112,-1.0,0.2563,1.4542,1.6302,1,0,0,0,0.0,1.8841,3,E,True,True,True
S1,0,3,4619822352,0.1579,0.292,0.3591,3.1478,0,1,1,0,1.302,3.1476,2,N,False,False,False
S1,0,3,4619822160,1.302,3.3706,0.8103,1.681,1,0,0,0,0.292,6.5065,3,S,False,False,True
S1,0,3,4619824560,2.1958,-1.0,1.9953,4.0046,1,1,0,0,0.0,1.2215,2,W,False,False,True
S1,0,3,4619823504,0.3007,-1.0,0.042,6.8094,0,1,0,0,0.9093,2.0859,3,N,False,False,True
S1,0,4,4619823024,5.5166,4.7914,0.8417,1.0829,0,0,0,0,1.0787,4.25,4,N,False,False,True
S1,0,4,4619821104,0.4151,0.0,5.2632,0.0,0,1,0,1,1.787,2.5435,2,E,False,False,True
S1,0,4,4619821296,0.0,1.556,0.7833,1.8823,1,0,0,0,2.5756,4.4906,3,S,False,False,True
S1,0,4,4619822160,1.6353,1.0211,0.0,0.0,0,0,1,1,0.4126,6.2562,2,N,False,False,True
S1,0,4,4619822064,2.8832,0.6651,0.3134,1.727,0,0,0,0,0.0,2.5056,4,N,False,False,True
S1,0,4,4619823312,1.723,0.5654,0.4126,2.5997,0,0,1,0,0.0,3.4248,3,N,False,False,True
S1,0,4,4619823888,0.3969,-1.0,1.5355,0.084,0,1,0,0,0.0,0.0156,3,E,False,False,True
S1,0,4,4594895856,-1.0,1.4922,0.0,1.2568,1,0,1,1,0.0,1.7539,1,S,False,False,True
S1,0,4,4619823408,-1.0,0.0,0.0,5.6753,1,1,1,0,1.2568,2.664,1,W,False,False,True
S1,0,4,4619821008,0.4996,3.45,-1.0,0.084,0,0,1,0,0.5873,4.6896,3,S,False,False,True
S1,0,4,4595755312,0.6702,2.5756,2.4519,5.1089,0,1,0,0,0.0,2.5826,3,W,False,False,True
S1,0,4,4619824176,4.0964,4.7388,0.2042,1.5835,0,0,0,0,3.6938,1.6999,4,N,False,False,False
S1,0,4,4619821872,1.787,1.3008,1.0622,1.1232,1,0,0,0,0.0,3.6099,3,S,False,False,True
S1,0,4,4619821968,0.0,3.0928,2.5406,3.211,1,0,0,0,2.4765,4.471,3,S,False,False,True
S1,0,4,4594736912,2.5997,3.5285,0.5654,2.5809,0,0,0,0,1.1386,3.0986,4,N,False,False,True
S1,0,4,4619822640,1.9861,0.4942,0.4405,1.9929,0,0,0,0,2.5031,2.6452,4,N,False,False,True
S1,0,4,4619823216,1.2568,0.2042,1.4922,4.0964,1,0,0,0,0.0,0.2445,3,W,False,False,True
S1,0,4,4619821584,0.2983,8.0,7.0484,0.8268,0,0,0,0,1.9735,2.7535,4,S,False,False,True
S1,0,4,4619293456,-1.0,0.4698,0.0768,0.0,1,0,1,1,0.0,2.109,1,S,False,False,True
S1,0,4,4619823504,1.727,1.3685,0.6651,0.8664,0,0,0,0,0.0,0.0624,4,N,True,True,True
S1,0,4,4619824464,0.3836,0.3869,-1.0,0.98,0,0,1,0,0.0,1.845,3,N,False,False,False
S1,0,4,4619822448,1.8273,3.3032,-1.0,0.4094,0,0,1,0,3.8339,4.2123,3,S,False,False,True
S1,0,4,4605463824,1.4542,1.302,3.2752,0.2563,1,1,0,0,0.1579,0.7536,2,Stay,False,False,False
S1,0,4,4595748112,-1.0,0.0,2.4132,0.4188,1,0,0,0,0.0,0.3008,3,E,False,False,True
S1,0,4,4619823696,-1.0,0.1434,0.0,0.0,1,0,1,1,0.0768,1.4568,1,S,False,False,True
S1,0,4,4595475920,1.5861,0.0,5.513,0.7833,0,1,0,0,2.345,5.1174,3,E,False,False,True
S1,0,4,4595755600,0.0,2.6865,2.6455,4.1818,1,0,0,0,0.3132,3.7246,3,E,False,False,False
S1,0,4,4619822256,4.7914,4.9517,0.8481,5.1253,0,0,0,0,0.0,1.5014,4,N,False,False,True
S1,0,4,4619824272,2.4297,-1.0,1.0466,0.5051,0,1,1,0,0.0,4.1559,2,N,False,False,True
S1,0,4,4619821392,0.8664,-1.0,1.3685,-1.0,0,1,0,1,3.8514,4.3485,2,E,False,False,True
S1,0,4,4619822352,0.0,1.6353,0.8268,3.1898,0,0,0,0,0.0,2.5426,4,W,False,False,True
S1,0,4,4619823792,2.345,1.2111,5.1253,1.0187,1,0,0,0,0.0,4.05,3,S,False,False,True
S1,0,4,4595748016,1.3857,4.0729,1.022,0.0776,0,0,0,0,2.433,1.1936,4,S,True,True,True
S1,0,4,4619824368,-1.0,0.5919,-1.0,0.0768,1,0,1,1,0.0,0.3643,1,S,False,False,True
S1,0,4,4614742736,0.8523,1.9688,0.865,0.4126,0,0,0,1,0.0,3.6309,3,S,False,False,True
